关键词,最终类别
科创一体化,战略理念
九银数智贷,产品服务
远程柜台,基础设施
鲲鹏司库,基础设施
财资大管家,产品服务
票据好管家,产品服务
外汇金管家,产品服务
投行智管家,产品服务
商业养老金系统,产品服务
大模型智能体助手,产品服务
惠仓融,产品服务
Summit6.2系统,基础设施
投资交易管理系统,基础设施
数智化转型,战略理念
Su-Pay支付产品,产品服务
智慧运维,基础设施
开发自动化,技术支持
数智化内控合规管理平台,基础设施
全栈信创核心系统,基础设施
薪智通平台,基础设施
苏银e链数字底座,基础设施
数字供应链,战略理念
苏银e链产融数智平台,基础设施
交银e监管平台,基础设施
实时风控引擎,基础设施
数据中台,基础设施
企业级数据标准体系,战略理念
数据服务化,战略理念
数据信用化,战略理念
数据资产化,战略理念
智能评价体系,战略理念
发票云平台,基础设施
线上融资模型,技术支持
一站式数据资产管理,基础设施
大数据平台,基础设施
数据自服务平台,基础设施
机器人,技术支持
中信大脑人工智能体系,技术支持
数字函证系统,基础设施
数字供应链金融,战略理念
自动审批,产品服务
资金监管平台,基础设施
3D大屏,基础设施
数据社区,基础设施
智能投研,产品服务
绿色金融,战略理念
普惠金融,战略理念
养老金融,战略理念
OCR,技术支持
光学字符识别,技术支持
监管科技,战略理念
跨境数字金融,战略理念
流程自动化,技术支持
生成式AI,技术支持
Copilot智能助理,产品服务
智能办公助手,产品服务
IT基础设施,基础设施
移动支付,产品服务
手机银行,产品服务
智能影像,产品服务
智能对话,产品服务
智能审核,产品服务
智能贷款,产品服务
智能复核,产品服务
智能运维,产品服务
智能决策,产品服务
智能推荐,产品服务
智能预警,产品服务
智能分析,产品服务
智能监控,产品服务
精准画像,技术支持
风险识别,产品服务
智能柜台,产品服务
生成式人工智能,技术支持
远程银行服务,产品服务
区块链电子函证平台,基础设施
分布式银行核心系统,基础设施
信用卡核心系统,基础设施
线上化作业,产品服务
智能终端,基础设施
虚拟数字人,产品服务
智能柜员机,基础设施
云柜台,基础设施
数字柜员,产品服务
远程授权,技术支持
AI数字员工,产品服务
AIGC,技术支持
金融综合服务平台,基础设施
风险授信评分模型,技术支持
跨地域分布式多活架构,基础设施
数字运营平台,基础设施
智能报告平台,基础设施
分布式技术架构,基础设施
微服务网络,基础设施
业务中台,基础设施
数据智能,战略理念
实时计算业务应用,基础设施
业务模型,技术支持
智能化设备,基础设施
智能设备,基础设施
数字鸿沟,战略理念
智能机具,基础设施
互动式语音应答,技术支持
数字银行,战略理念
数字化绿色金融,战略理念
自助贴现,产品服务
小微宝,产品服务
智能银行,产品服务
大语言模型,技术支持
AI大模型,技术支持
智慧小微模式,战略理念
智慧办公,战略理念
视频银行,产品服务
数字化产业金融服务平台,基础设施
数据共享,战略理念
数字普惠,战略理念
数字化主动授信,战略理念
网络融资产品,产品服务
线上+远程+线下,战略理念
智能交易,产品服务
数字化普惠,战略理念
智能系统,基础设施
智能监控平台,基础设施
易收宝,产品服务
移动柜面,基础设施
TA系统,基础设施
份额登记系统,基础设施
代销系统,基础设施
数据挖掘,技术支持
数据管理,战略理念
数据规范,战略理念
微信小程序,产品服务
垂直数据库,基础设施
数据赋能,战略理念
远程视频,技术支持
供应链金融数智化,战略理念
建行云,基础设施
数据安全,战略理念
数据价值挖掘,战略理念
大数据风险管控,技术支持
数字人才管理,战略理念
人才画像系统,技术支持
智能风控模型,技术支持
普惠e融,产品服务
技术流评价体系,技术支持
随e融平台,基础设施
智慧客服,产品服务
大数据风控,技术支持
人工智能客服,产品服务
数字资产,战略理念
大语言模型技术,技术支持
数字化信贷工厂,产品服务
身份认证,技术支持
移动支付产品,产品服务
Su-Pay,产品服务
云原生金融PaaS平台,基础设施
金融生态云,基础设施
智能运维平台,基础设施
远程银行,产品服务
智能导航,产品服务
普惠金融数字化平台,基础设施
物联网金融,战略理念
企业级客户画像平台,基础设施
数据安全分类分级,战略理念
智能营销中台,基础设施
分布式账本技术,技术支持
移动展业系统,基础设施
存款定价模型,技术支持
金融云服务平台,基础设施
数字信贷工厂,产品服务
智能反欺诈系统,产品服务
大数据分析平台,基础设施
企业级BI,基础设施
智能语音导航,产品服务
智能合约监管,技术支持
数字身份认证,技术支持
移动金融,战略理念
数据中心,基础设施
数字支付,产品服务
数字信贷,产品服务
监管沙盒,战略理念
算法模型,技术支持
联邦学习,技术支持
网络安全,技术支持
数字孪生,技术支持
5G+金融,战略理念
金融信创,战略理念
数字绿色金融,战略理念
数据生命周期管理,战略理念
智能网点,基础设施
开放银行,战略理念
量化金融,战略理念
信息安全,战略理念
数字财富管理,产品服务
智能信贷,产品服务
数字证券,产品服务
量子通信,技术支持
分布式账本,技术支持
边缘计算,技术支持
云原生架构,基础设施
卫星遥感,技术支持
碳金融,战略理念
监管科技平台,基础设施
风险画像系统,技术支持
算法审计,技术支持
金融信息基础设施,基础设施
数据分级分类,战略理念
数据血缘分析,技术支持
隐私保护,技术支持
移动金融终端,基础设施
ESG评级模型,技术支持
数字保险,产品服务
数字信贷审批,产品服务
电子签章,技术支持
远程音视频,技术支持
数字合规工具,基础设施
量子计算,技术支持
数字人民币钱包,产品服务
数字政务融合,战略理念
数字乡村金融,战略理念
MR,技术支持
混合现实,技术支持
业务开发运维一体化,战略理念
数字双模架构,基础设施
数字安全生态,战略理念
科技信贷,战略理念
智能审批模型,技术支持
科技金融统计监测,战略理念
科技风险,战略理念
科技金融人才培育,战略理念
线上化审批,产品服务
数据脱敏技术,技术支持
金融监管科技平台,基础设施
科技金融生态圈建设,战略理念
支付系统,基础设施
金融信用信息基础数据库,基础设施
信用信息共享平台,基础设施
融资信用服务平台,基础设施
金融行业数据空间,基础设施
交易报告库,基础设施
金融数据跨境流动,战略理念
实时数据调用,技术支持
网络架构,基础设施
金融网络,基础设施
量子技术,技术支持
信息系统,基础设施
数据保护,战略理念
商用密码保护,技术支持
网络安全态势感知平台,基础设施
监管流程数字化,战略理念
智能分析工具,基础设施
风险监测预警,产品服务
数字化监管平台,基础设施
公共服务平台,基础设施
数据质量管控机制,战略理念
数据可视化,技术支持
数字生态场景体系,战略理念
数字化,战略理念
风险监测模型,技术支持
智能算法模型,技术支持
资金流信用信息共享平台,基础设施
供应链金融服务数字化,战略理念
数字一体化平台,基础设施
动产融资统一登记公示系统,基础设施
数字化金融服务平台,基础设施
跨境金融数字平台,基础设施
数据字典,基础设施
企业级大数据平台,基础设施
数据洞察,技术支持
数据融合,技术支持
数据壁垒,战略理念
信息基础设施架构,基础设施
分布式计算,技术支持
分布式存储,技术支持
算力,基础设施
智能金融,战略理念
身份识别,技术支持
安全监测预警,技术支持
移动终端,基础设施
可信计算,技术支持
密码算法,技术支持
线上线下一体化,战略理念
信息共享,战略理念
应用程序编程接口,基础设施
软件开发工具包,基础设施
SDK,基础设施
数据处理,技术支持
敏捷开发,战略理念
灰度发布,技术支持
开发运维一体化,战略理念
民生服务平台,基础设施
信用评价模型,技术支持
智能审计,产品服务
数据分析,技术支持
供应链金融服务平台,基础设施
模式识别,技术支持
防控模型,技术支持
通道加密,技术支持
双向认证,技术支持
科技人员,战略理念
数字化运行,战略理念
核心系统分布式转型,战略理念
分布式技术平台,基础设施
大数据技术平台,基础设施
算法矩阵,技术支持
异构算力,基础设施
人工智能平台大模型,基础设施
AI助手,产品服务
智能应用,产品服务
分布式架构应用,基础设施
数字运营能力,战略理念
科技人才,战略理念
多模态大模型,技术支持
GPU,基础设施
前端技术,技术支持
智能化转型,战略理念
生态化转型,战略理念
敏捷开发机制,战略理念
云平台,基础设施
数字信用卡,产品服务
NCard,产品服务
生态圈场景,战略理念
兴业普惠平台,基础设施
支付服务平台,基础设施
教育云平台,基础设施
鸿蒙生态,基础设施
IT,技术支持
数据驱动运营能力,战略理念
科技与业务深度融合,战略理念
云原生技术,技术支持
生态金融,战略理念
ECOS1.0,战略理念
TOP+战略,战略理念
数字政务平台,基础设施
开放银行API,基础设施
工银e政务,基础设施
权益登记区块链平台,基础设施
CCB Store,基础设施
人工智能审单系统,产品服务
ERP,基础设施
数字风控,技术支持
摩羯智投,产品服务
U-Bank,产品服务
企业服务平台,基础设施
中银E贷,产品服务
中银慧投,产品服务
区块链应用平台,基础设施
云缴费平台,基础设施
数字光大战略,战略理念
鑫e,产品服务
反洗钱系统,产品服务
科技资源配置,战略理念
数字平台建设,战略理念
科技架构布局,战略理念
工业遥感识别技术,技术支持
风控系统,产品服务
融安e,产品服务
数据防泄露工具,技术支持
全流程风险防控,战略理念
中银企业e管家,产品服务
中银企业云直联,基础设施
企业架构,战略理念
金融级云上数据中心,基础设施
智慧农村平台,基础设施
知识产权平台,基础设施
信创全栈云,基础设施
修复系统,基础设施
预防系统,基础设施
免疫系统,基础设施
数据实验室,基础设施
数据标准化治理,战略理念
数字化菁英,战略理念
专业数字学习平台,基础设施
科技菁英,战略理念
数字化业务经营,战略理念
数据标准化,战略理念
数据看板,基础设施
风控模型,技术支持
科技融合,战略理念
数字生态,战略理念
技术生态,战略理念
PaaS,基础设施
数字产品,产品服务
数字营销,战略理念
数字基础设施,基础设施
数据应用服务平台,基础设施
产业数字化营销服务平台,基础设施
业务数字化,战略理念
风控数字化,战略理念
管理数字化,战略理念
智能定投,产品服务
数字化平台中心,基础设施
刷脸付,产品服务
5G,技术支持
大数据应用,战略理念
开发测试运维一体化,战略理念
IPV6,基础设施
数字化渠道运营体系,战略理念
数字化产品,产品服务
iGTB,基础设施
环球交易银行平台,基础设施
智慧营销,产品服务
风险数据分析,技术支持
智能定价,产品服务
智能决策引擎,基础设施
支付区块链平台,基础设施
物联网监管系统,基础设施
信用评分模型,技术支持
客服机器人,产品服务
加密技术,技术支持
增强现实(AR)网点导航,产品服务
数据共享平台,基础设施
反洗钱监测系统,产品服务
云中心,基础设施
风险管理,战略理念
移动化服务,战略理念
反欺诈系统,产品服务
数据驱动,战略理念
智能驱动,战略理念
生态驱动,战略理念
智能技术,技术支持
数字化人才,战略理念
数字化建设,战略理念
风控智能化,战略理念
数据平台,基础设施
移动开发,技术支持
大数据开发,技术支持
数字化管理,战略理念
数据湖,基础设施
数据仓库,基础设施
投资系统,基础设施
数据标准,战略理念
信息建档,战略理念
一云多芯,基础设施
智能语音助手,产品服务
智能搜索,产品服务
分布式技术中台,基础设施
量子安全,技术支持
数据云,基础设施
iABC战略,战略理念
图像识别,技术支持
BaaS,基础设施
数据服务平台,基础设施
BI,基础设施
声纹识别技术,技术支持
企业级架构,基础设施
科技治理,战略理念
IT平台,基础设施
ITM,基础设施
数据管理平台,基础设施
金融科技战略规划,战略理念
科技外包战略,战略理念
自主用数平台,基础设施
监管报送系统,基础设施
感知平台,基础设施
数字征信,战略理念
分布式微服务,基础设施
DevOps,战略理念
数字地图,基础设施
数智化平台,基础设施
数智化管理,战略理念
实时计算,技术支持
ITBP,战略理念
科技业务融合,战略理念
生态银行,战略理念
智慧物业平台,基础设施
中台架构,基础设施
决策系统,基础设施
数据安全沙箱,基础设施
声纹识别,技术支持
智能外呼,产品服务
智能语音,技术支持
理财双录,产品服务
视频客服,产品服务
语音机器人,产品服务
客户关系图谱,技术支持
ICR,技术支持
SD-WAN,基础设施
广域网,基础设施
决策引擎,基础设施
智能视频,技术支持
视频模型,技术支持
数字化改造,战略理念
数据质量检核,战略理念
信息模型,战略理念
F-G-B-C,战略理念
非银资金管理云平台,基础设施
BA+SA,战略理念
云原生技术体系,技术支持
BA+SA+DA+UE协同机制,战略理念
低代码平台,基础设施
ChatCIB,产品服务
电子合同签约,产品服务
openGauss,基础设施
口袋银行APP,产品服务
智慧托管系统,产品服务
智能推荐平台,基础设施
智慧应用平台,基础设施
云桌面,基础设施
数字口袋AP,产品服务
智慧经营平台,基础设施
数字化信贷平台,基础设施
大数据融合平台,基础设施
人工智能服务平台,基础设施
云原生应用开发平台,基础设施
产业数字金融平台,基础设施
大数据风控系统,基础设施
区块链平台,基础设施
量子金融科技,战略理念
远程视频银行,产品服务
产业生态图谱,技术支持
数字生态圈,战略理念
远程柜员,产品服务
预警模型,技术支持
云端ERP,基础设施
微服务架构,基础设施
量化信用分析模型,技术支持
智慧风控平台,基础设施
智能预警系统,基础设施
CRM客户关系管理系统,基础设施
客户管理平台,基础设施
数字口袋APP,产品服务
掌上生活APP,产品服务
智能财富,产品服务
在线风控平台,基础设施
智能审录,技术支持
视觉识别,技术支持
数字化获客模型,技术支持
远程放款,产品服务
信贷全流程线上化,战略理念
预算管理系统,基础设施
客户画像标签,技术支持
AaaS,基础设施
智慧网银,产品服务
客户标签,技术支持
财富管理平台,基础设施
薪税管家,产品服务
企业级营销中台,基础设施
虚拟客服,产品服务
智慧金服,产品服务
信用风险监控系统,基础设施
供应链金融系统,基础设施
票据系统,基础设施
DCMM,战略理念
信贷工厂模式,战略理念
企业网银,产品服务
统一柜面平台,基础设施
数字生态银行,战略理念
网络金融,战略理念
互联网金融,战略理念
运营平台,基础设施
智能字符识别,技术支持
数字力工程,战略理念
TMMi,战略理念
养老金系统,基础设施
业务智能化,战略理念
建行生活APP,产品服务
建行惠懂你,产品服务
智慧银行生态系统,战略理念
ECOS,战略理念
工银兴农通APP,产品服务
融安e信,产品服务
工银e企付,产品服务
工银融安,产品服务
智慧贸金平台,基础设施
数字工行,战略理念
D-ICBC,战略理念
金融创新,战略理念
FinTech,战略理念
DLT,技术支持
智能风险控制,技术支持
数字化运营管理,战略理念
科技驱动金融,战略理念
用户画像分析,技术支持
数字化升级,战略理念
智能计算,技术支持
数据资产管理,战略理念
密文计算,技术支持
金融数据体系,战略理念
数据金融服务平台,基础设施
信用评估模型,技术支持
移动化办公,战略理念
普惠数字金融,战略理念
供应链数字化,战略理念
数字化劳动力,战略理念
三维建模技术,技术支持
运营数字化转型,战略理念
生物特征识别,技术支持
虚拟助手,产品服务
移动展业工具,基础设施
分布式银行系统,基础设施
贷款自动化审批,产品服务
面部识别,技术支持
风险预测,技术支持
交易实时监控,产品服务
供应链金融平台,基础设施
区块链融资服务,产品服务
实时反欺诈预警,技术支持
科技创新金融,战略理念
产业数字平台,基础设施
科技金融服务,战略理念
云端银行服务,产品服务
虚拟银行网点,产品服务
数字货币应用,产品服务
科创评估模型,技术支持
智慧供应链,战略理念
产业数字化金融,战略理念
远程金融服务,产品服务
智能资金管理,产品服务
财资管理系统,基础设施
外汇管理系统,基础设施
AI智能助手,产品服务
交易管理系统,基础设施
投资管理系统,基础设施
智能支付产品,产品服务
智能化运维,战略理念
线上风控模型,技术支持
智能流程自动化,技术支持
智能供应链金融,战略理念
自动化授信,产品服务
文字识别,技术支持
移动金融服务,产品服务
运维智能化,战略理念
实时监控系统,基础设施
客户精准画像,技术支持
风险检测,技术支持
虚拟金融服务,产品服务
虚拟员工,产品服务
报告自动化,技术支持
数据智能化,战略理念
网络银行,战略理念
绿色数字金融,战略理念
智慧银行服务,产品服务
主动授信模型,技术支持
在线融资产品,产品服务
O2O服务模式,战略理念
份额管理系统,基础设施
微信金融服务,产品服务
远程视频服务,产品服务
金融云服务,基础设施
大数据风险管理,战略理念
智能风险评估,技术支持
风控大数据,战略理念
AI客户服务,产品服务
数字资产化,战略理念
信贷流程数字化,战略理念
身份验证,技术支持
移动支付工具,产品服务
物联网+金融,战略理念
企业客户画像,技术支持
反欺诈监测,技术支持
数据分析系统,基础设施
语音导航系统,产品服务
数字身份验证,技术支持
数据处理中心,基础设施
电子支付,产品服务
在线信贷,产品服务
金融信息技术,战略理念
智能财富管理,产品服务
自动化信贷,产品服务
分布式记账,技术支持
ESG评估模型,技术支持
电子签名,技术支持
远程音视频服务,产品服务
数字钱包,产品服务
科技金融监测,战略理念
在线审批流程,产品服务
支付清算系统,基础设施
征信数据库,基础设施
信用信息平台,基础设施
密码技术应用,技术支持
监管数字化,战略理念
智能分析平台,基础设施
风险模型,技术支持
动产登记系统,基础设施
金融数字平台,基础设施
数据孤岛,战略理念
模式识别技术,技术支持
数字化运作,战略理念
虚拟信用卡,产品服务
科技业务协同,战略理念
银行数字化战略,战略理念
数字风险管理,战略理念
企业银行服务,产品服务
数字化战略,战略理念
反洗钱监测,技术支持
企业云端服务,基础设施
风险预防,战略理念
数字化经营,战略理念
风控算法,技术支持
数字生态系统,战略理念
智能投资,产品服务
数字化平台,基础设施
人脸支付,产品服务
数字金融产品,产品服务
动态定价,技术支持
风险管控,战略理念
移动服务,产品服务
反欺诈检测,技术支持
信息化建设,战略理念
数字化治理,战略理念
语音助手,产品服务
科技战略规划,战略理念
语音识别,技术支持
智能呼叫,产品服务
语音技术,技术支持
视频服务,产品服务
智能托管,产品服务
虚拟桌面,基础设施
云应用开发,基础设施
区块链系统,基础设施
量子金融,战略理念
数字生态体系,战略理念
远程服务,产品服务
预警系统,基础设施
风险预警系统,基础设施
客户管理系统,基础设施
移动金融应用,产品服务
智能理财,产品服务
用户标签,技术支持
财富管理系统,基础设施
营销中台,基础设施
智慧金融服务,产品服务
运营管理系统,基础设施
测试成熟度模型,技术支持
生活服务APP,产品服务
风险信息平台,基础设施
